Sentence,Sentiment,label,cleaned_sentence
"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",positive,2,July   Finnish steel maker Rautaruukki Oyj HEL  RTRKS  or Ruukki  said today it turned to a net profit of EURm in the second quarter of  from a net loss of EURm in the corresponding period last year
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,positive,2,Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems  SES  on the supply of AC drives
Around 250 of these reductions will be implemented through pension arrangements .,neutral,1,Around  of these reductions will be implemented through pension arrangements
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,negative,0,Pretax profit totaled EUR  mn compared to EUR  mn in the first quarter of
Basware finances the acquisition with a bank loan .,neutral,1,Basware finances the acquisition with a bank loan
Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd. .,neutral,1,Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd
"Tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysJouni Haikarainen , Vice President , Fortum .",positive,2,Tieto was looking for an energy solution which would best support the idea of sustainable development  and we were happy to be able to provide such a solution  saysJouni Haikarainen  Vice President  Fortum
"Finnish electronics manufacturing services company Elcoteq signing a cooperation agreement with a Japanese mobile phone manufacturer , bypasses Elcoteq Tallinn , says Jan Kotka , CEO of Elcoteq Tallinn .",positive,2,Finnish electronics manufacturing services company Elcoteq signing a cooperation agreement with a Japanese mobile phone manufacturer  bypasses Elcoteq Tallinn  says Jan Kotka  CEO of Elcoteq Tallinn
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",neutral,1,Teleste s hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions  including HFC  hybrid fibrecoaxial   xDSL  EttH  and FttH
28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,positive,2,October   Finnish wood products technology supplier Raute Oyj HEL  RUTAV said today it swung to a net profit of EURm for the first nine months of  versus a net loss of EUR  m for the same period a year earlier
The issuer is solely responsible for the content of this announcement .,neutral,1,The issuer is solely responsible for the content of this announcement
"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share .",neutral,1,The handset also features a Media Bar for quick access to favorite media and applications  including music  photos  YouTube or Ovi Share
"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",neutral,1,The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of  tonnes a day
`` Those uncertainties cloud the long-term outlook . '',neutral,1,Those uncertainties cloud the longterm outlook
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,2,Circulation revenue has increased by   in Finland and   in Sweden in
Yvonne Jones is owner of Chameleon Interiors .,neutral,1,Yvonne Jones is owner of Chameleon Interiors
The first quarter was as expected and was in line with analysts ' forecasts .,neutral,1,The first quarter was as expected and was in line with analysts  forecasts
$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,negative,0,sad the only thing to move this is a takeover rumor only to be sold off next day
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative,0,LT s net profit for the whole  dropped to EUR  million from EUR  million for
Device volume in the area decreased by 21 % to 2.7 mn units .,neutral,1,Device volume in the area decreased by   to  mn units
"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive,2,Furthermore  our fully electrically driven cranes are environmentally friendly
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,1,The adjustment measures will be carried out in phases to secure the delivery capability
"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",negative,0,ADPnews   Oct     Finlandbased IT consultancy Tieto Oyj  HEL  TIEV  said today its net profit plunged to EUR  million  USD  m  for the first nine months of  from EUR  million for the same period o
Johnson Matthey profit falls but dividend rises,neutral,1,Johnson Matthey profit falls but dividend rises
"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",positive,2,The second quarter of  was the firstquarter with growth in net sales since the third quarter of   said Magnus Rosen  Ramirent CEO
The company expects its net sales for the whole 2009 to remain below the 2008 level .,neutral,1,The company expects its net sales for the whole  to remain below the  level
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral,1,The reasons behind the estimate include the rise in  rent levels and several fullyleased office and retail properties  which were completed and added to the company s investment property portfolio
"Also, BMO had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings.",positive,2,Also BMO had just initiated  with an outperform yesterday while several other firms all reiterated buy ratings
The dual-fuel engines of the vessel can operate on liquefied natural gas LNG with low emissions .,neutral,1,The dualfuel engines of the vessel can operate on liquefied natural gas LNG with low emissions
"Previously , the plant was expected to be completed by the end of 2008 .",neutral,1,Previously  the plant was expected to be completed by the end of
Long $GPRO for a brealout trade,positive,2,Long  for a brealout trade
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,2,The agreement strengthens our longterm partnership with Nokia Siemens Networks
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,positive,2,The contract was signed in August with Papua New Guineabased Lihir Gold Ltd ASX  LGL
The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,neutral,1,The majority of the company s personnel in Finland is temporarily laid off from one to six weeks in the period from February to June  period
This is the company 's first contract abroad .,neutral,1,This is the company s first contract abroad
"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .",positive,2,This is a repeat order to follow successfully installed  elevators in the same Delhi metro system   Kone spokeswoman told Thomson Financial News
CORRECTED-Shire to buy Dyax for about $5.9 bln,positive,2,CORRECTEDShire to buy Dyax for about  bln
"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",neutral,1,According to HK Ruokatalo  almost all the meat used by the company comes from Finland
"In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",neutral,1,In the Czech Republic  the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki s bigger plants in Hungary  Poland and Romania by the end of the first quarter of
@pierrules: $SIRI LONG!!,positive,2,pierrules  LONG
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",positive,2,Daily chart  though RSI and Stoch point at a possible move up theres a lot of resistance
The company will also be compensated for acting as a reserve batch plant .,positive,2,The company will also be compensated for acting as a reserve batch plant
"The money will be spent `` on strengthening the company 's competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in Russia , '' the release says .",positive,2,The money will be spent  on strengthening the company s competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in Russia   the release says
`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy .,neutral,1,Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,neutral,1,Vaisala s net profit for the third quarter of  dropped to  mln euro    mln  from  mln euro    mln  for the same period of
FTSE edges up as investors cheer Kingfisher results,positive,2,FTSE edges up as investors cheer Kingfisher results
Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,positive,2,Looking for a strong bounce   Lunchtime rally coming
It is a disappointment to see the plan folded .,neutral,1,It is a disappointment to see the plan folded
The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds .,neutral,1,The repurchase of the bonds was executed in the open market in accordance with section  f of the terms and conditions of the Convertible Bonds
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,negative,0,ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,2,Both operating profit and net sales for the sixmonth period increased  respectively from EUR  m and EUR  m  as compared to the corresponding period in
Morrisons and Debenhams surprise City with Christmas bounce back,positive,2,Morrisons and Debenhams surprise City with Christmas bounce back
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,2,However  Biohit estimates its total net sales will continue to grow in   and that favourable trends in net sales will lead to a profit in
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,neutral,1,The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy
"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",positive,2,Oversold falling wedge and positive divergence place it on the launch pad looking for a bounce
"Neste Oil will publish its third quarter 2008 results on Friday , 24 October 2008 at approximately 9 am ( EET ) .",neutral,1,Neste Oil will publish its third quarter  results on Friday   October  at approximately  am  EET
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,1,Capacity of the facility made by Finland s Vaahto Group is  tons of light coated paper
Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary .,neutral,1,Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary
The measures result from weak demand in the shipbuilding industry .,negative,0,The measures result from weak demand in the shipbuilding industry
$TRX http://stks.co/1KkK Long setup. MACD cross.,positive,2,Long setup MACD cross
Shire to buy NPS for $5.2 billion to boost rare disease drugs,positive,2,Shire to buy NPS for  billion to boost rare disease drugs
The report will be emailed within 2 business days of an order .,neutral,1,The report will be emailed within  business days of an order
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .",neutral,1,Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo  southern Finland
"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",positive,2,Finland s Nokian Tyres and Kazakhstan s Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires  Ordabasy chairman Dinmukhamet Idrisov said at a press conference
The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds .,neutral,1,The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs  Whitehall Street Real Estate Funds
He said : `` It is for sale again and we will be actively marketing it .,neutral,1,He said   It is for sale again and we will be actively marketing it
"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",neutral,1,According to Finnish Scanfil s founder and chairman of the board  Jorma J Takanen  the company has to look for growth abroad
The expanded company will continue to be called NewPage .,neutral,1,The expanded company will continue to be called NewPage
Nordea 's chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for re-election at the Annual General Meeting in 2011 .,neutral,1,Nordea s chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for reelection at the Annual General Meeting in
$SBUX inverted head & shoulders pattern in the works. bullish.,positive,2,inverted head  shoulders pattern in the works bullish
The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .,positive,2,The acquisition is part of Ramirent s strategy to strengthen its position in selected locations
"By the end of 2006 , the number of joint branch offices will total 170 .",neutral,1,By the end of   the number of joint branch offices will total
Standard Life share price: Insurer buys advice firm Pearson Jones,positive,2,Standard Life share price Insurer buys advice firm Pearson Jones
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,negative,0,Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as  cry babies
"Neste Oil Corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .",neutral,1,Neste Oil Corporation is a refining and marketing company concentrating on clean  highquality traffic fuels
Pohjola and cooperative banks have continued to combine their branch office network .,neutral,1,Pohjola and cooperative banks have continued to combine their branch office network
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,neutral,1,August   Finnish measuring equipment maker Vaisala Oyj HEL  VAIAS said today that its net loss widened to EUR  m in the first half of  from EUR  m in the corresponding period a year earlier
"Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer .",positive,2,Luxembourgregistered investment fund Amber Trust II has won the final approval of Lithuania s Competition Council to acquire  percent of Sanitas  the country s largest pharmaceutical producer
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral,1,SSH Communications Security Corporation is headquartered in Helsinki  Finland
NWC ANALYSIS :,neutral,1,NWC ANALYSIS
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,2,The acquisition will have an immediate positive impact on Aspocomp s financial result
"The Board of Directors proposes to the Shareholders ' Meeting on 18 March 2010 that the company would pay dividend for the financial year January 1 - December 31 , 2009 , EUR 0.02 per share .",neutral,1,The Board of Directors proposes to the Shareholders  Meeting on  March  that the company would pay dividend for the financial year January   December     EUR  per share
"Product deliveries will not be interrupted , the refiner said , giving no financial details .",neutral,1,Product deliveries will not be interrupted  the refiner said  giving no financial details
"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .",positive,2,Microsoft also churned up its courtship  agreeing to use the Navteq mapping service  which is offered by a company Nokia bought for   billion a few years ago
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",negative,0,The period s sales dropped to EUR  m from EUR  m  according to the interim report  released today
"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",neutral,1,The one dark spot on the horizon  however  was the company s performance in the Finnish bottled water market
"Finnish software company QPR Software Plc ( OMX Helsinki : QPR1V ) reported on Thursday ( 23 October ) an operating profit of EUR63 ,000 on net sales of EUR1 .5 m for the third quarter 2008 .",neutral,1,Finnish software company QPR Software Plc  OMX Helsinki  QPRV  reported on Thursday   October  an operating profit of EUR  on net sales of EUR  m for the third quarter
"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",positive,2,ADP News   Oct     Finnish lifting equipment maker Konecranes Oyj  OMX  KCRV  said today that its net profit rose to EUR  million  USD  m  in the first nine months of  from EUR  million for the s
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",positive,2,The divestment is in line with the company s plans to focus on selected growth segments and streamline corporate structure  the company explained
Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,positive,2,Passengerrelated revenue rose by   to EUR  mn from EUR  mn in
"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .",neutral,1,Finnish Kemira Group s CEO  Lasse Kurkilahti  says the Group s structural reorganisation will continue for at least a year
"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",neutral,1,The business transfer will take effect from  January   and in connection with this  employees will transfer from Elisa to Daxtum as continuing employees
$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,negative,0,the parties over loaded on  volatility is back
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",neutral,1,Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of  mln euro   mln for the first half of   compared to a net profit of  mln euro   mln for the same period of
"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",neutral,1,In the fourth quarter of   OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in JanuarySeptember
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,2,Aviva Friends Life top forecasts ahead of  billion pound merger
- Tikkurila inspires you to color your life .,neutral,1,Tikkurila inspires you to color your life
"It is being developed by Symbian , the software licensing consortium led by Nokia .",neutral,1,It is being developed by Symbian  the software licensing consortium led by Nokia
"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",positive,2,Markets had been expecting a poor performance  and the company s stock was up  percent at  xac  US  in early afternoon trading in Helsinki
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',positive,2,The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,2,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish Mreal Corporation s Graphic Papers Business unit
The new units should become one of the largest ones within the company .,neutral,1,The new units should become one of the largest ones within the company
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",positive,2,Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries   SFI  pulp mill in Sabah  Malaysia
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,1,Finnish SampoRosenlew manufactures approximately seven forest machines monthly  and about half of machines are exported
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,1,A total six of the polled analysts rated Mreal  two gave  buy    accumulate   three gave  hold  and only one gave  sell
The arrangements do not apply to the group 's units outside Finland .,neutral,1,The arrangements do not apply to the group s units outside Finland
"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .",neutral,1,The agreement  which will cover monitoring  maintenance  server capacity service and backups  has a oneyear extension option
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",neutral,1,Trading code  ELIV Number of shares   Priceshare  Gratuitous After the transfer  Elisa holds a total of  own shares
"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",neutral,1,There s the issue of thieves stealing them from building sites   said Mr Smith
Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,negative,0,Deutsche Bank Downgraded Starbucks Co
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",neutral,1,Founded in   Quatrocon s clientele consists of public sector builders  central trading companies and major construction firms
$vxx starting to creep up while $spy sits near hod ...,positive,2,starting to creep up while  sits near hod
"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",neutral,1,Based in Helsinki  Finland  Ramirent has branches in  Nordic  central and Eastern European countries
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,positive,2,Operating profit improved by   to EUR  mn from EUR  mn in
$GEVO PLUNGING!  Back to $3.55.,negative,0,PLUNGING  Back to
"According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % .",neutral,1,According to the report  Elisa s and DNA s joint market share of Finland s telecom market is
"In the Baltic countries , sales fell by 42.6 % .",neutral,1,In the Baltic countries  sales fell by
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,negative,0,NYSE owner ICE may gatecrash Deutsche BoerseLSE merger
"Tip of the week Panfish like bluegills are great fun to catch , especially for children new to fishing .",neutral,1,Tip of the week Panfish like bluegills are great fun to catch  especially for children new to fishing
"The company has delivered the technical infrastructure , used by NAV for their data warehouse and business intelligence initiatives .",neutral,1,The company has delivered the technical infrastructure  used by NAV for their data warehouse and business intelligence initiatives
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative,0,So far Norwegian Norske Skog has reduced the staff levels by  people and plans to reduce production by  tons in   while FinnishSwedish Stora Enso is to cut staff by  people and production by  tons
Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed,neutral,1,Country   Germany Sector  ConstructionReal Estate  MachineryEngineering Target  Caverion GmbH Buyer  YIT Oyj Deal size in USD   m Type  Corporate acquisition Status  Agreed
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral,1,According to CapMan Plc s Corporate Governance  the majority of the committees  members shall be independent of the Company
"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",neutral,1,In addition  we will launch a versatile online service to complete the traditional printed newspaper  Mr Valkama says
InterContinental Hotels first-quarter global room revenue lags estimates,negative,0,InterContinental Hotels firstquarter global room revenue lags estimates
"The largest construction company in Finland , YIT Corporation , is to acquire 70 % of the shares in the Slovak construction company Reding Bratislava .",neutral,1,The largest construction company in Finland  YIT Corporation  is to acquire   of the shares in the Slovak construction company Reding Bratislava
"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",negative,0,The company plans to close two of the three lines at the plant  where some  jobs are under threat
"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",neutral,1,Furthermore  the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars
"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group .",positive,2,The acquisition of Sampo Bank makes strategic sense for DB   says Lindsey Liddell  director of Fitch Ratings s Financial Institutions Group
"Our objective is to yield a significant part of our turnover in Russia in a couple of years , '' says Solteq 's Managing Director Hannu Ahola .",neutral,1,Our objective is to yield a significant part of our turnover in Russia in a couple of years   says Solteq s Managing Director Hannu Ahola
"Particular attention is being paid to energy efficiency in the construction of the building , as it is designed to meet the requirements of energy class B , and LEED certification will be applied for .",neutral,1,Particular attention is being paid to energy efficiency in the construction of the building  as it is designed to meet the requirements of energy class B  and LEED certification will be applied for
"TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' .",neutral,1,TVO s twounit  MW Olkiluoto plant generated  TWh with an operating ratio across both reactors of    which the company described as  high by international standards
$AAPL  downgrade is bias. This stock is a buy.,positive,2,downgrade is bias This stock is a buy
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",neutral,1,In JanuaryAugust   imports by sea in container  lorry  and trailer units fell by   and exports by   from the corresponding period in
The first stage of the contract covers 133 stores and 600 cash registers .,neutral,1,The first stage of the contract covers  stores and  cash registers
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",neutral,1,Lassila  Tikanoja s operating profit excluding nonrecurring and imputed items for the second quarter was EUR  m  down from EUR  m a year ago
